image_paths,cluster,dist
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__24800_7000.tif,74,92
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__43600_11000.tif,22,77
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__40200_23600.tif,46,75
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__3200_6000.tif,6,58
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__44800_20400.tif,97,206
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__15000_9800.tif,40,104
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__44200_49400.tif,26,81
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__29600_3000.tif,92,139
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__42400_61400.tif,57,71
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__40800_15800.tif,34,91
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__15600_5400.tif,74,78
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__41000_53200.tif,23,73
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__35400_4000.tif,41,77
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__43400_1600.tif,71,125
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__1400_8000.tif,11,68
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__42200_46400.tif,21,84
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__45400_43200.tif,59,76
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__40600_59400.tif,27,77
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__14200_25800.tif,4,48
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__22400_16000.tif,12,66
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__600_2200.tif,48,110
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__30600_32200.tif,64,86
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__21800_10400.tif,39,91
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__6000_61400.tif,59,92
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__15200_57000.tif,23,63
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__39400_56400.tif,35,99
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__12400_52600.tif,12,67
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__11800_54200.tif,57,87
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__25200_13600.tif,0,71
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__37000_37400.tif,7,93
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__35400_28400.tif,51,134
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__10000_12800.tif,19,87
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__29200_32800.tif,68,175
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__26600_21000.tif,54,82
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__43800_7400.tif,9,63
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__28200_40000.tif,60,100
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__27600_53800.tif,48,93
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__2200_56400.tif,26,62
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__11000_60000.tif,42,76
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__17600_48000.tif,22,70
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__35800_2200.tif,63,105
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__5400_53200.tif,90,119
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__6800_55600.tif,22,63
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__21000_24600.tif,74,107
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__19200_29000.tif,5,67
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__13200_58000.tif,26,65
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__30200_5400.tif,33,88
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__1000_43200.tif,93,159
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__26800_32200.tif,14,59
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__25400_34600.tif,81,107
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__4400_5800.tif,30,63
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__24400_19000.tif,51,110
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__37600_10400.tif,39,79
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__22200_31000.tif,90,124
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__4200_9400.tif,28,76
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__8200_27400.tif,28,79
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__31000_38400.tif,16,80
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__30000_15200.tif,28,82
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__30400_9800.tif,34,53
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__6600_46400.tif,78,108
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__23200_43800.tif,10,66
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__4200_59400.tif,36,81
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__15600_0.tif,26,59
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__30800_21000.tif,14,79
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__16000_42600.tif,17,63
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__23800_8400.tif,8,60
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__18400_23600.tif,3,50
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__33400_27400.tif,93,129
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__31800_53800.tif,34,83
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__10000_4000.tif,76,104
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__29400_15800.tif,13,72
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__10600_35800.tif,18,81
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__34200_22200.tif,9,83
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__11600_47000.tif,52,143
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__6400_7400.tif,17,61
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__37400_12800.tif,41,54
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__12000_28400.tif,4,56
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__36400_60000.tif,56,177
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__32200_7800.tif,82,111
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__24600_44200.tif,29,108
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__9000_57000.tif,4,55
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__4800_30400.tif,62,116
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__30200_48000.tif,58,93
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__6400_44800.tif,3,67
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__23000_41400.tif,42,85
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__8000_25800.tif,58,98
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__7400_36000.tif,0,63
